"","K_sat","Q_sat","E_sym","L_sym","K_sym","Q_sym","R14","Lambda14"
"1",241.583350805529,-0.902391455456836,34.7800938586789,32.9467117804904,-168.778853900959,373.594503470246,11.944822719608,402.075266131068
"2",231.699493841246,-52.0086864696551,32.4402557233221,38.2860714781905,-104.479722082393,284.352950629979,12.0000311449405,417.573774514601
"3",213.395810624083,-89.4419397479716,35.4649717182136,47.2485019059596,-43.4366732921547,386.776427755387,12.0015893105409,391.207867331374
"4",223.766744052602,-72.5906635001118,33.9600774784704,42.6196939029386,-113.672976327637,276.154800006365,11.9372882403019,391.390527595304
"5",233.467227159757,-105.576242722241,29.8002128578884,60.3218066359157,-0.320180380262201,273.862797185903,12.1507604468504,449.660956515912
"6",241.692469835393,-156.608004725209,34.662026219228,42.2824449670056,-161.246923554417,446.069607412365,11.9096946525556,379.09186971389
"7",248.365022965752,-131.310523759383,33.1340679634029,31.681621631149,-191.808047245207,673.209845740706,11.900519241898,400.041117913571
"8",226.830238454364,-136.098497511544,34.2543922518447,54.5165932960741,-79.7632194166094,59.8934691329611,11.9173851154519,369.149008384402
"9",254.593647854171,-93.636269013045,34.1922921456563,60.1396464316192,-66.7726332411723,244.032947245276,12.3255979253025,480.995513976766
"10",244.500217987746,-76.8308093996853,38.4643771161149,50.1758453050512,-146.34837033472,420.445489709494,12.2017898472448,434.220860880596
"11",221.319194477513,-82.4386946126713,34.8220991012996,56.6276040790584,-25.3862456005695,107.495932250117,12.0820278797988,411.150850265336
"12",260.952235063218,-157.469461605049,31.796451335212,46.2935423411842,-96.9455371026853,598.887951645479,12.2594586758634,480.397752519897
"13",222.612049802919,-93.8842721367466,31.553888373685,56.1902747430828,-30.5981295458313,119.007462441465,12.066829690879,418.700341718807
"14",238.8835357703,-112.959615965368,32.2199581168064,65.4146200620563,-33.4791456795043,19.233081860148,12.1515537070651,441.190045570244
"15",261.293079122162,-162.754178080577,36.6001804979107,57.8887356151487,-122.396132716518,107.858016172371,12.1592061018298,422.094182066134
"16",219.496754111286,-66.2204686889561,31.4202393633625,51.035674007189,-46.5083261812471,32.9902592389574,12.0011910722459,408.682406000034
"17",245.257462399074,-74.4088983549943,31.9193485221292,46.3291400395757,-94.7534385207068,422.41071748458,12.2126657109869,468.927997972575
"18",238.768767444519,-103.010026998909,32.9294559736259,49.8301923251846,-104.313276013635,154.674490352086,12.0226332430136,408.118480546336
"19",240.360529079597,-129.424301139612,30.5812536493867,44.2237030031167,-47.2506525046506,661.671171989837,12.1892773329802,462.621563378354
"20",211.669890397083,-91.4189133866174,32.305548951012,38.6202426641453,-62.6906192955124,251.438651351876,11.8710912450623,377.588095075556
"21",283.201471884301,-165.833512137329,32.8434601141947,65.2192190566738,-90.9259348200929,86.9905165071075,12.3943937498029,498.074843466894
"22",249.34816866978,-49.9531031432023,32.4902573342846,45.6677416870602,-110.910766283227,234.188679996735,12.1612728160892,455.520634703441
"23",220.965346038259,-121.033844509577,30.7676685660591,47.2686733712919,-65.1583875698594,261.168343398675,11.9476517363425,396.541430704382
"24",223.119615695814,-95.7463852928083,31.1607805057438,49.1265575406916,-68.8636333318635,166.786241232706,11.9774976637287,405.081511264692
"25",234.503085788733,-92.9556162479881,33.2698874955311,71.9131940778378,14.6387838633592,184.652588216919,12.1890258597304,432.886150677896
"26",235.67526737843,-111.042190585722,35.745319771199,70.8960413582464,0.840080567120509,203.667440768127,12.1574519879186,414.755840610341
"27",216.03749333584,-85.0881209947412,32.2449872758754,51.7227888800193,-48.6186730519884,159.745263397834,11.9947131022174,401.373640531354
"28",239.44038120715,-90.8688327481091,32.9595876335387,35.2896191191294,-141.738588616346,301.699381386601,11.8375440515903,374.161441219159
"29",254.619669903045,-90.5477870523527,34.2712014625085,64.731903919548,-47.9889626407625,321.948387809766,12.3582674398252,486.338842470544
"30",228.379589996929,-84.5045533863166,32.0146665118824,71.290982271796,63.5872687057465,365.720257907825,12.0398520844094,399.126148040151
"31",244.641469943846,-45.8377989963196,32.0566408814998,47.6940014666697,-94.0094053139566,156.202361329843,12.1552146084324,451.355555466088
"32",187.306886008708,-56.8555861946257,31.6373558893687,63.8567517894802,52.9825627198077,53.2253294097794,11.758349842013,339.922434586464
"33",214.2909273503,-65.4340576724108,34.6397315837636,32.0360496286517,-152.322003808652,460.171378149904,11.758797454446,356.439235908353
"34",195.594369429258,-69.7451156918423,29.7623064873423,58.4548201469908,18.9576461915309,25.8343286089301,11.8533269732107,374.845785174519
"35",243.408698483088,-64.6023762276037,29.236075413146,60.9946023369969,-12.2688723059892,169.107255843293,12.2763307152813,498.172393602786
"36",231.435733054576,-54.823428609668,32.9230013656263,65.5769079878922,-11.7843102440456,-60.4639068486681,12.2184998095749,450.590479568341
"37",230.564086939745,-56.7815162505901,32.268740137704,44.4247717897375,-91.5816323923683,176.523828300916,12.0188299754288,416.310157499985
"38",247.051756763188,-113.051412688329,34.8751545901453,53.8764506612076,-74.3363434843293,237.422133551353,12.2135214290964,446.737195247833
"39",222.452744147617,-108.878838982545,34.259204332374,37.6461827120141,-137.96730600747,548.249374839916,11.9107427752969,388.093343204341
"40",254.979080890577,-112.588369954216,33.9346342621732,65.8832546610316,27.4372411552074,803.24777247524,12.2245227646851,431.893442074485
"41",215.16664552206,-127.714595719712,35.0309476132947,63.7423941927744,-31.3205864086283,21.8580921790279,11.9225850659319,365.629337978222
"42",227.033072629938,-132.392653811458,30.1439230758007,35.4938670296102,-124.903496213592,141.754345746965,11.3826366911634,279.418012837557
"43",248.674644329953,-40.0361482090709,29.6204899911829,38.6904447460172,-123.606321457325,231.508871331949,11.9545659266967,424.463819727341
"44",222.245908748181,-68.0515961145012,33.1751184924342,52.4545702476985,-66.2623687052864,184.70831587232,12.0667002075035,414.296619830145
"45",231.082192910712,-101.303812791417,33.7461309330509,49.2496964747976,-91.7789375492087,211.341227961584,12.0298063010937,406.949641396532
"46",200.392742197045,-113.460276889126,31.8557164450036,45.5219727411199,-73.0000036394306,85.2682521800196,11.6082860747643,315.037476247848
"47",263.622700370216,-151.048552101969,31.4542558172671,38.0575070381232,-163.718742283884,266.987569182893,11.7786459768507,358.39163878147
"48",236.911892816412,-88.541113259812,31.4762867732584,44.0559176845568,-81.7356811135101,211.784319611415,12.0534359784804,428.834945356354
"49",221.95584029642,-81.6830709869052,33.5716252398517,47.6687285465963,-99.6870029936434,60.1736903305721,11.8340722614056,358.733883045126
"50",222.868918848411,-73.800403661603,33.0619291214324,51.6126434085399,1.48827612784717,854.761573877436,12.0369458833776,393.211362388076
"51",205.670350185675,-59.7217995638085,37.6946091304403,62.1903721000344,39.3127315080768,125.169202273376,11.9570156151026,366.058544170756
"52",233.486998463263,-59.1339296265623,33.1221711803407,49.1944766100869,-83.3645873471299,255.455438822662,12.1435754743406,438.006716584249
"53",240.869945405271,-144.786401965595,32.8689888625179,64.3235043564625,-54.128799780856,11.4554508326125,12.1164041801535,421.475508412996
"54",234.701419147055,-128.318910054154,30.7792002128834,54.9080267776516,-36.0957977062214,231.419574590586,12.0918965821971,433.356392977443
"55",223.719826199352,-86.4671419871524,31.6398767280115,35.9039248506205,-126.875337572868,307.775678206411,11.7661669023549,361.830687046667
"56",247.771876279877,-82.7879352555923,31.5904522945641,53.275891600927,-81.1341223161971,33.1126412557012,12.1440109149158,443.931260060003
"57",200.249817485848,-61.7333769527066,34.0803412835382,41.0037284859784,-84.7865372856725,425.465943560453,11.8841210885421,375.365197562241
"58",255.876223121848,-118.523781620246,33.7849120617045,56.3661553449828,-55.9147335455871,357.384968310492,12.3127141872005,479.421541523587
"59",211.466937260334,-76.7795874072924,34.4099477059311,59.4966092516934,-2.12625468325311,-31.8371643051876,12.004327513834,389.431307689808
"60",238.776708159604,-81.3869627923476,34.3127176251364,37.3419405111843,-131.706518235709,316.800114630029,11.9620983124469,393.491694244644
"61",230.191831809631,-122.872079555333,32.3377322033075,33.1405647621792,-124.956964409286,667.739973431484,11.9764672317679,416.626005082144
"62",221.364086902387,-104.826364471686,34.3033130409516,54.9567394105102,-23.2547686891343,397.9458761196,12.0485514758743,399.486416044909
"63",209.434659839921,-64.1169076756192,33.54869779139,41.4862852320726,-48.1175763183605,225.059796378202,11.9508429016344,393.479468502711
"64",207.487977184084,-59.7853313062384,34.8418945841307,68.2136948400434,47.218608901792,218.156711232611,11.9463701085186,364.638222662396
"65",239.847097169829,-68.3897504100161,35.2556555882825,62.1652755178387,-44.1237435171152,121.437473867212,12.264757711649,452.366383754995
"66",220.894699656791,-105.022762285993,32.9325946511469,50.9810368792262,-42.2871369991704,213.443764398003,12.0212246292483,403.945511071557
"67",218.78610176992,-26.9503323603179,32.4662623416063,39.1319132704893,-113.276398200749,266.047439432706,11.9062386245782,389.956671965047
"68",235.821516797399,-113.025498392208,34.1008424649207,59.164716629254,-70.5370853355133,15.0546195737772,12.083309367873,412.306095935118
"69",250.889228096336,-161.272440090593,33.1724015119331,60.5435158187372,-87.234617277969,65.2918387371351,12.1170199960362,422.440875837587
"70",226.954686742318,-78.2101367712236,29.9666551031109,49.4578250461228,-51.0520804357475,212.862362155221,12.0495066422531,439.454037794137
"71",218.73371697812,-77.8021896779512,32.0679965195874,45.0837032212034,-86.5417773892509,127.736068394269,11.8692462256443,376.445026263287
"72",220.323571381373,-103.456768742801,35.5618535663749,60.4895995398639,-22.622503188118,303.481005689436,12.0372923248119,390.509403494717
"73",239.060145893329,-101.056885318786,32.0411580453806,34.7139378361868,-157.627141799432,317.576174864766,11.7130648946589,351.119323014829
"74",231.259317119288,-116.83493795643,34.1569318632537,48.4979102964009,-107.28819418293,286.290446591733,12.0025115384033,400.268780412443
"75",213.367096594043,-97.595413338484,35.6996095373705,45.0583472609991,-82.6640632711175,163.728942782389,11.8603222249198,359.465794040771
"76",236.568243277066,-65.8420271857215,33.5339919044589,64.3231568621991,-36.2576876775022,83.9103058980491,12.2430727778287,453.020473297433
"77",225.546988437052,-69.4598664245827,31.9873908802641,53.9148941050921,-51.1828300467431,-6.27008439650733,12.04900001,414.473679555836
"78",217.653954606172,-107.147198227831,33.4569082969493,61.4146416606072,-11.764352225208,65.8365418107543,12.0090452144393,392.256170793992
"79",259.376499327152,-115.337967634595,33.2494870902977,55.6840261491605,-117.022359597964,73.9769848545466,12.154313351068,435.188386226073
"80",246.609840057844,-111.568897186121,32.9818038162145,45.5064469875764,-126.91535581166,412.590873531992,12.1104892947526,433.404340257227
"81",254.984053154707,-122.245229997374,31.0094019743096,61.1094709963862,-47.1842006858583,106.528837009306,12.2451373730272,479.179519244331
"82",238.465297576198,-80.9947299433307,34.9724073745897,44.5985800554307,-101.442036005717,740.370353116973,12.2272153533606,456.844397849962
"83",193.62672343623,-28.0914411002993,34.3010810238705,39.347718240098,-79.8936599532613,181.865270436964,11.7707052812936,353.196973926613
"84",231.056972761421,-100.422447194684,31.8265796200027,27.5318338962067,-170.949494403214,544.915490836062,11.706495349439,364.110505651315
"85",233.496722453173,-83.8024196944739,33.1472003194767,32.6042147770934,-155.676278925702,627.856320634754,11.9643815930045,409.705074372546
"86",219.291144797308,-93.4948343158371,31.2694775152274,46.2137927295221,-63.1747236420206,272.026174005577,11.9857990504052,408.139982018638
"87",231.914975981124,-73.2068536631277,33.171666855411,48.6415232766423,-46.6896503501512,635.01258604994,12.2086168537711,453.764728565251
"88",257.694586989263,-102.195769663309,30.573160433063,55.1402831462477,-13.6277878366742,742.662581352809,12.3447259931338,506.500508324503
"89",213.400107550016,-35.3492380740754,33.411119039013,37.3548227500936,-124.5340690735,303.601125173087,11.830519915066,373.980430519453
"90",206.508286806402,-63.12847201507,33.2477302629236,42.3574166025965,9.94340621195293,982.998529006758,11.7981045692759,334.397161951034
